Date,Open,High,Low,Close,Adj Close,Volume
12/7/2010,764.90,770.51,763.41,764.42,764.42,6970630000.00
12/6/2010,755.29,762.13,754.11,760.86,760.86,3527370000.00
12/3/2010,748.83,757.52,746.56,756.42,756.42,3735780000.00
12/2/2010,743.14,751.20,743.14,751.20,751.20,4970800000.00
12/1/2010,734.98,743.93,734.70,743.14,743.14,4548110000.00
11/30/2010,725.56,730.71,721.69,727.01,727.01,4284700000.00
11/29/2010,732.71,733.54,720.58,731.95,731.95,3673450000.00
11/26/2010,736.52,736.52,730.20,732.73,732.73,1613820000.00
11/24/2010,725.45,736.53,725.45,736.53,736.53,3384250000.00
11/23/2010,720.07,721.11,715.08,719.93,719.93,4133070000.00
11/22/2010,722.34,728.40,717.66,727.33,727.33,3689500000.00
11/19/2010,720.66,725.06,715.53,724.36,724.36,3675390000.00
11/18/2010,713.96,724.11,713.96,720.84,720.84,4687260000.00
11/17/2010,706.42,709.27,704.36,707.77,707.77,3904780000.00
11/16/2010,715.05,715.33,701.43,705.34,705.34,5116380000.00
11/15/2010,722.35,727.02,719.54,719.94,719.94,3503370000.00
11/12/2010,727.74,729.26,718.80,719.27,719.27,4213620000.00
11/11/2010,734.17,734.21,724.77,731.58,731.58,3931120000.00
11/10/2010,726.76,734.87,721.53,734.87,734.87,4561300000.00
11/9/2010,737.86,738.99,723.17,725.98,725.98,4848040000.00
11/8/2010,734.46,737.88,731.68,736.77,736.77,3937230000.00
11/5/2010,733.55,738.73,732.61,736.59,736.59,5637460000.00
11/4/2010,715.13,733.47,715.13,733.46,733.46,5695470000.00
11/3/2010,713.13,715.14,706.00,715.14,715.14,4665480000.00
11/2/2010,698.56,712.89,698.56,712.89,712.89,3866200000.00
11/1/2010,706.13,710.30,693.70,698.56,698.56,4129180000.00
10/29/2010,701.03,705.60,699.30,703.35,703.35,3537880000.00
10/28/2010,707.74,709.71,698.12,701.03,701.03,4283460000.00
10/27/2010,703.18,705.66,696.24,704.23,704.23,4335670000.00
10/26/2010,704.19,710.84,700.60,706.93,706.93,4203680000.00
10/25/2010,705.66,714.05,705.66,707.89,707.89,4221380000.00
10/22/2010,699.82,703.57,698.19,703.43,703.43,3177890000.00
10/21/2010,705.33,709.42,690.49,698.12,698.12,4625470000.00
10/20/2010,696.96,705.49,696.23,702.11,702.11,5027880000.00
10/19/2010,702.43,706.93,690.11,694.15,694.15,5600120000.00
10/18/2010,703.16,710.13,703.02,710.13,710.13,4450050000.00
10/15/2010,709.06,711.43,699.79,703.16,703.16,5724910000.00
10/14/2010,706.37,708.62,699.50,704.69,704.69,4969410000.00
10/13/2010,698.98,710.64,697.81,706.47,706.47,4969410000.00
10/12/2010,693.46,697.61,685.42,696.04,696.04,4076170000.00
10/11/2010,693.68,698.01,692.14,693.48,693.48,3118110000.00
10/8/2010,684.56,696.18,682.32,693.82,693.82,3871420000.00
10/7/2010,685.27,689.38,680.24,684.23,684.23,3910550000.00
10/6/2010,687.97,689.44,682.61,685.33,685.33,4073160000.00
10/5/2010,669.43,689.59,669.43,689.35,689.35,4068840000.00
10/4/2010,679.28,679.96,665.99,669.45,669.45,3604110000.00
10/1/2010,680.95,681.73,673.31,679.29,679.29,4298910000.00
9/30/2010,681.51,684.59,670.45,676.14,676.14,4284160000.00
9/29/2010,672.71,678.89,672.25,677.64,677.64,3990280000.00
9/28/2010,669.74,675.88,659.02,675.43,675.43,4025840000.00
9/27/2010,671.02,671.55,666.31,668.29,668.29,3587860000.00
9/24/2010,655.91,671.01,655.91,671.01,671.01,4123950000.00
9/23/2010,652.01,661.11,647.79,648.84,648.84,3847850000.00
9/22/2010,662.49,666.73,652.87,656.71,656.71,3911070000.00
9/21/2010,669.53,672.38,664.63,664.66,664.66,4175660000.00
9/20/2010,652.86,670.34,649.86,669.98,669.98,3364080000.00
9/17/2010,651.20,653.40,643.05,651.44,651.44,4086140000.00
9/16/2010,650.94,651.88,643.67,647.81,647.81,3364080000.00
9/15/2010,647.11,653.86,643.21,652.51,652.51,3369840000.00
9/14/2010,650.61,654.32,647.00,649.23,649.23,4521050000.00
9/13/2010,641.40,653.59,641.40,652.28,652.28,4521050000.00
9/10/2010,636.08,639.40,633.42,636.46,636.46,3061160000.00
9/9/2010,639.25,641.88,630.36,634.62,634.62,3387770000.00
9/8/2010,631.26,638.34,631.26,634.25,634.25,3224640000.00
9/7/2010,641.06,641.06,628.51,629.29,629.29,3107380000.00
9/3/2010,637.79,643.73,636.02,643.36,643.36,3534500000.00
9/2/2010,624.52,632.66,622.99,632.26,632.26,3704210000.00
9/1/2010,603.33,624.99,603.33,624.99,624.99,4396880000.00
8/31/2010,600.47,607.63,597.33,602.06,602.06,4038770000.00
8/30/2010,614.27,615.35,601.72,601.72,601.72,2917990000.00
8/27/2010,604.69,617.10,596.18,616.76,616.76,4102460000.00
8/26/2010,606.54,611.36,598.62,599.76,599.76,3646710000.00
8/25/2010,592.13,605.69,589.38,604.87,604.87,4360190000.00
8/24/2010,596.91,601.77,588.58,595.59,595.59,4436330000.00
8/23/2010,613.79,617.75,602.42,602.67,602.67,3210950000.00
8/20/2010,610.95,611.09,601.69,610.78,610.78,3761570000.00
8/19/2010,625.32,626.43,609.82,610.96,610.96,4290540000.00
8/18/2010,625.83,632.77,620.24,628.04,628.04,3724260000.00
8/17/2010,620.15,630.28,619.28,626.30,626.30,3968210000.00
8/16/2010,606.71,618.02,604.83,615.10,615.10,3142450000.00
8/13/2010,615.47,616.19,609.49,609.49,609.49,3328890000.00
8/12/2010,613.84,620.58,610.94,616.98,616.98,4521050000.00
8/11/2010,639.20,639.20,619.38,620.39,620.39,4511860000.00
8/10/2010,654.84,654.84,642.00,646.36,646.36,3979360000.00
8/9/2010,654.29,660.20,651.91,659.52,659.52,3979360000.00
