Date,Open,High,Low,Close,Adj Close,Volume
2/1/2019,25025.31,25193.15,24982.49,25063.89,25063.89,"372,090,000"
2/4/2019,25062.12,25239.91,24977.67,25239.37,25239.37,"298,540,000"
2/5/2019,25287.93,25427.32,25287.65,25411.52,25411.52,"310,650,000"
2/6/2019,25371.57,25439.04,25312.06,25390.3,25390.3,"247,590,000"
2/7/2019,25265.81,25314.26,25000.52,25169.53,25169.53,"295,460,000"
2/8/2019,25042.36,25106.39,24883.04,25106.33,25106.33,"248,210,000"
2/11/2019,25142.81,25196.75,25009.1,25053.11,25053.11,"241,700,000"
2/12/2019,25152.03,25458.98,25152.03,25425.76,25425.76,"278,110,000"
2/13/2019,25480.86,25625.95,25480.86,25543.27,25543.27,"263,330,000"
2/14/2019,25460.65,25558.9,25308.09,25439.39,25439.39,"313,010,000"
2/15/2019,25564.63,25883.72,25564.63,25883.25,25883.25,"328,530,000"
2/19/2019,25849.85,25961.44,25820.01,25891.32,25891.32,"280,620,000"
2/20/2019,25872.26,25986.2,25846.48,25954.44,25954.44,"287,880,000"
2/21/2019,25922.41,25938.88,25762.21,25850.63,25850.63,"255,710,000"
2/22/2019,25906.27,26052.9,25906.27,26031.81,26031.81,"279,760,000"
2/25/2019,26126.15,26241.42,26080.66,26091.95,26091.95,"281,600,000"
2/26/2019,26051.61,26155.29,25966.01,26057.98,26057.98,"257,850,000"
2/27/2019,25995.6,26039.68,25877.24,25985.16,25985.16,"255,380,000"
2/28/2019,25984.28,26029.21,25896.56,25916,25916,"338,520,000"
3/1/2019,26019.67,26143.92,25914.37,26026.32,26026.32,"289,890,000"
3/4/2019,26122.19,26155.98,25611.55,25819.65,25819.65,"295,510,000"
3/5/2019,25829.07,25877.15,25725.63,25806.63,25806.63,"252,260,000"
3/6/2019,25818.76,25837.61,25633.71,25673.46,25673.46,"256,250,000"
3/7/2019,25645.45,25645.45,25352.55,25473.23,25473.23,"289,140,000"
3/8/2019,25347.38,25466.14,25252.46,25450.24,25450.24,"270,500,000"
3/11/2019,25208,25661.63,25208,25650.88,25650.88,"309,790,000"
3/12/2019,25600.3,25675.44,25522.17,25554.66,25554.66,"317,730,000"
3/13/2019,25637.23,25776.49,25571.31,25702.89,25702.89,"331,410,000"
3/14/2019,25692.31,25752.84,25621.31,25709.94,25709.94,"302,790,000"
3/15/2019,25720.96,25927.91,25649.7,25848.87,25848.87,"616,910,000"
3/18/2019,25801.88,25924.77,25785.66,25914.1,25914.1,"303,170,000"
3/19/2019,25987.87,26109.68,25814.92,25887.38,25887.38,"342,250,000"
3/20/2019,25867.79,25929.52,25670.63,25745.67,25745.67,"321,980,000"
3/21/2019,25688.44,26009.9,25657.78,25962.51,25962.51,"335,250,000"
3/22/2019,25844.65,25877.01,25501.45,25502.32,25502.32,"386,510,000"
3/25/2019,25490.72,25603.27,25372.26,25516.83,25516.83,"303,120,000"
3/26/2019,25649.56,25796.29,25544.78,25657.73,25657.73,"305,110,000"
3/27/2019,25676.34,25758.17,25425.27,25625.59,25625.59,"270,340,000"
3/28/2019,25693.32,25743.41,25576.69,25717.46,25717.46,"237,170,000"
3/29/2019,25827.31,25949.32,25771.67,25928.68,25928.68,"300,620,000"
4/1/2019,26075.1,26280.9,26071.69,26258.42,26258.42,"295,570,000"
4/2/2019,26213.55,26221.24,26122.31,26179.13,26179.13,"250,940,000"
4/3/2019,26238.03,26282.17,26138.47,26218.13,26218.13,"271,980,000"
4/4/2019,26213.42,26398.9,26212.78,26384.63,26384.63,"233,040,000"
4/5/2019,26427.56,26487.57,26370.82,26424.99,26424.99,"229,550,000"
4/8/2019,26312.67,26344.65,26246.03,26341.02,26341.02,"229,380,000"
