stock,direction,LastSale
CNSL,positive,12.77
CWCO,positive,14.3
CNAC,positive,9.97
CNACR,positive,0.58
CNACU,negative,10.9
CNACW,negative,0.41
ROAD,positive,12.63
CPSS,positive,3.65
CFRX,negative,2.59
CTRV,positive,1.12
CTRL,positive,24.95
CVON,negative,9.3
AWSM,negative,4.55
CPRT,positive,58.43
CRBP,negative,5.275
CORT,positive,14.13
CORE,negative,23.44
CORI,positive,8.02
CSOD,positive,52.41
CORV,positive,3.85
CRVL,positive,55.9
CRVS,negative,10.25
CSGP,negative,427.81
COST,negative,214.85
CPAH,positive,2.73
ICBK,negative,26.69
COUP,positive,65.7
CVTI,positive,28.36
COWN,negative,14.05
COWNL,negative,25.05
COWNZ,positive,25.4
PMTS,negative,2.07
CPSH,positive,1.51
CRAI,negative,53.95
CBRL,positive,149.73
BREW,positive,19.6
CRAY,positive,25.2
CACC,positive,365.01
DGLD,negative,50.98
DSLV,negative,27.5
GLDI,positive,8.44
SLVO,positive,7.295
TVIX,negative,37.58
TVIZ,positive,8.24
UGLD,positive,9.06
USLV,negative,8.5
USOI,negative,28.4753
VIIX,positive,13.19
VIIZ,negative,61.16
ZIV,positive,78.42
CREE,negative,45.36
CRESY,positive,15.99
CRSP,positive,60.06
CRTO,positive,33.33
CROX,positive,17.03
CRON,negative,6.73
CCRN,negative,11.9
CRWS,positive,5.4
CYRX,positive,15.65
CYRXW,negative,12.1599
CSGS,positive,40.72
CCLP,positive,5.61
CSPI,negative,10.47
CSWI,negative,53.2
CSX,positive,64
CTIC,negative,3.98
CTIB,positive,4
CTRP,negative,44.37
CUE,positive,11.62
CUI,positive,2.79
CPIX,positive,6.1747
CRIS,positive,1.9
CUTR,negative,43
CVBF,negative,22.36
CVV,positive,7.02
CYAN,positive,3.95
CYBR,negative,65.84
CYBE,positive,19.25
CYCC,positive,1.5094
CYCCP,negative,6.5499
CBAY,negative,12.97
CY,positive,16.49
CYRN,negative,2.875
CONE,positive,61.74
CYTK,negative,8.9
CTMX,positive,23.25
CYTX,positive,1.025
CYTXW,positive,0.0092
CYTXZ,positive,0.0287
CTSO,negative,12.15
CYTR,negative,1.2
DJCO,positive,233
DAKT,positive,8.35
DARE,negative,1.43
DRIO,positive,1.38
DRIOW,positive,0.3
DZSI,negative,9.96
DSKE,negative,9.44
DSKEW,positive,0.99
DAIO,negative,6.37
DWCH,positive,10.75
PLAY,negative,48.01
DTEA,positive,3.3027
DFNL,positive,24.325
DINT,positive,19.3
DUSA,positive,24.88
DWLD,negative,26.775
DWSN,negative,7.81
DBVT,positive,18.71
DCPH,positive,38.21
DFRG,negative,11.5
TACO,positive,14.21
TACOW,positive,3.96
DMPI,negative,0.675
DELT,negative,1.13
DNLI,positive,14.05
DENN,negative,15.71
XRAY,positive,44.72
DEPO,negative,8.17
DERM,positive,10.73
DEST,positive,5.78
DXLG,positive,2.2
DSWL,positive,3.45
DTRM,negative,1.4
DXCM,negative,99.45
DFBH,positive,9.6
DFBHU,positive,10.141
DFBHW,negative,1.3
DHXM,positive,1.9
DHIL,positive,190.28
FANG,negative,129.99
DCIX,negative,1.55
DRNA,positive,11.92
DFBG,negative,5.24
DFFN,positive,0.47
DGII,negative,13.5
DMRC,positive,30.05
DRAD,positive,1.625
DGLY,positive,2.25
APPS,positive,1.39
DCOM,negative,19.95
DIOD,negative,36.24
DISCA,positive,27.35
DISCB,positive,32
DISCK,negative,25.35
DISH,positive,32.76
DVCR,positive,6.93
SAUC,negative,1.15
DLHC,negative,5.51
BOOM,positive,46.75
DNBF,negative,34.4
DOCU,positive,55.05
DOGZ,negative,3.1
DLTR,positive,86.09
DLPN,positive,3.619
DLPNW,negative,0.45
DOMO,positive,18.99
DGICA,negative,14.31
DGICB,positive,13.45
DMLP,positive,19.15
DORM,positive,70.56
DOVA,positive,22.73
LYL,negative,3.1546
DOTA,negative,9.99
DOTAR,positive,0.59
DOTAU,positive,12
DOTAW,negative,0.71
DBX,positive,32.27
DCAR,positive,1.33
DRYS,negative,5.03
DSPG,negative,12.85
DLTH,positive,24.36
DNKN,negative,71.67
DRRX,positive,1.57
DXPE,negative,41.9
