Symbol,Date,Open,High,Low,Close,Adj Close,Volume
IDXX,7/5/2018,220.259995,222.360001,217.25,221.839996,221.839996,407300
IDXX,7/6/2018,222.179993,225.940002,222.179993,225.529999,225.529999,346300
IDXX,7/9/2018,226.429993,229.979996,226.429993,229.509995,229.509995,540200
IDXX,7/10/2018,236.880005,237.940002,230.350006,234.100006,234.100006,684400
IDXX,7/11/2018,232.949997,235.929993,231.559998,234.160004,234.160004,416500
IDXX,7/12/2018,235.309998,237.520004,234.589996,237.460007,237.460007,329600
IDXX,7/13/2018,237.460007,238.720001,236.110001,238.149994,238.149994,198700
IDXX,7/16/2018,238.979996,239.669998,236.539993,237.919998,237.919998,253700
IDXX,7/17/2018,236.630005,240.5,236.630005,239.789993,239.789993,340800
IDXX,7/18/2018,239.809998,241.610001,238.410004,239.100006,239.100006,300800
IDXX,7/19/2018,239.149994,243.740005,238.149994,242.820007,242.820007,344700
KSS,6/20/2018,75.910004,76.720001,74.779999,76.459999,76.459999,2488600
KSS,6/21/2018,76.199997,77.919998,76.169998,77.330002,77.330002,2594500
KSS,6/22/2018,77.550003,77.550003,73.529999,73.839996,73.839996,3754500
KSS,6/25/2018,73.860001,74.269997,72.32,72.93,72.93,3147500
KSS,6/26/2018,73.269997,74.800003,73.010002,74.32,74.32,2596000
KSS,6/27/2018,74.550003,75.75,73.599998,73.75,73.75,2392200
KSS,6/28/2018,73.330002,74.480003,72.519997,73.709999,73.709999,2549800
KSS,6/29/2018,74.629997,75.040001,72.839996,72.900002,72.900002,2712700
KSS,7/2/2018,72.300003,72.370003,70.419998,71.330002,71.330002,3350800
KSS,7/3/2018,71.830002,73.129997,71.75,72.199997,72.199997,1279900
KSS,7/5/2018,72.510002,72.610001,71.5,72.059998,72.059998,2009500
KSS,7/6/2018,71.510002,72.150002,70.709999,71.379997,71.379997,1813000
KSS,7/9/2018,72.040001,72.220001,70.419998,71.059998,71.059998,2612700
KSS,7/10/2018,70.860001,71.760002,70.5,71.220001,71.220001,1704600
KSS,7/11/2018,70.800003,71.050003,69.480003,70.199997,70.199997,2053200
KSS,7/12/2018,70.349998,70.349998,68.209999,69.379997,69.379997,3692100
KSS,7/13/2018,69.449997,70.790001,68.959999,69.129997,69.129997,2707800
KSS,7/16/2018,69.389999,70.919998,68.379997,70.650002,70.650002,3471100
KSS,7/17/2018,70.339996,71.349998,69.690002,70.93,70.93,2692800
KSS,7/18/2018,71.120003,72.419998,70.550003,72.330002,72.330002,2440100
KSS,7/19/2018,72.57,74.839996,72.519997,74.43,74.43,4983400
M,6/20/2018,38.950001,39.630001,38.650002,39.619999,39.619999,5136200
