Academic Year,TAP College Code,Federal School Code,TAP College Name ,Sector Type,TAP Sector Group,TAP Recipient Headcount,TAP Recipient FTEs,TAP Recipient Dollars
2014,836,9479,ST PAUL'S SCH NURSING SI,PRIVATE,5-INDEPENDENT,153,115.5,349478
2014,455,12203,ST PETERS HOSP COLLEGE OF NURSING,PRIVATE,5-INDEPENDENT,6,3,9724
2014,830,2832,ST THOMAS AQUINAS COLLEGE UG,PRIVATE,5-INDEPENDENT,437,402.25,1295808
2014,900,2841,SUC BROCKPORT (UNDERGRAD),PUBLIC,3-SUNY SO,3398,2961.96,7826767
2014,905,2842,SUC BUFFALO (UNDERGRAD),PUBLIC,3-SUNY SO,5035,4328.75,13780001
2014,960,2668,SUC CERAMICS AT ALFRED UNIV 4YR U,PUBLIC,3-SUNY SO,168,157,327302
2014,910,2843,SUC CORTLAND (UNDERGRAD),PUBLIC,3-SUNY SO,2667,2396.5,6310324
2014,913,10286,SUC EMPIRE STATE (UNDERGRAD),PUBLIC,3-SUNY SO,3350,2400.75,7982140
2014,950,2851,SUC ENV SCI&FORESTRY 4YRUNDERGRAD,PUBLIC,3-SUNY SO,622,569.38,1289356
2014,915,2844,SUC FREDONIA (UNDERGRAD),PUBLIC,3-SUNY SO,2374,2143.21,5520276
2014,920,2845,SUC GENESEO (UNDERGRAD),PUBLIC,3-SUNY SO,2016,1869.42,4836826
2014,925,2846,SUC NEW PALTZ (UNDERGRAD),PUBLIC,3-SUNY SO,2882,2586.63,7942443
2014,965,7109,SUC OLD WESTBURY (UNDERGRAD),PUBLIC,3-SUNY SO,2128,1789.5,5878562
2014,930,2847,SUC ONEONTA (UNDERGRAD),PUBLIC,3-SUNY SO,2447,2219.08,6033047
2014,935,2848,SUC OSWEGO (UNDERGRAD),PUBLIC,3-SUNY SO,3439,3131.67,8826745
2014,945,2850,SUC POTSDAM (UNDERGRAD),PUBLIC,3-SUNY SO,2003,1813.63,5376023
2014,970,6791,SUC PURCHASE (UNDERGRAD),PUBLIC,3-SUNY SO,1553,1387.33,4248366
2014,2157,2878,SUFFOLK COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,6962,5401.25,14413531
2014,2225,2879,SULLIVAN COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,773,607.88,1902882
2014,895,2835,SUNY ALBANY 4 YR (UNDERGRAD),PUBLIC,3-SUNY SO,5833,5228.79,16785900
2014,880,2836,SUNY BINGHAMTON 4 YR(UNDERGRAD),PUBLIC,3-SUNY SO,4638,4271.08,13642383
2014,1010,2837,SUNY BUFFALO 4 YR (UNDERGRAD),PUBLIC,3-SUNY SO,7451,6538.92,20536208
