userId,movieId,rating,addedOn,addedBy,updatedOn,updatedBy
18,5,2,2021-02-14,Admin,NULL,NULL
18,6,5,2021-02-14,Admin,NULL,NULL
18,7,3,2021-02-14,Admin,NULL,NULL
18,8,5,2021-02-14,Admin,NULL,NULL
18,9,3,2021-02-14,Admin,NULL,NULL
19,1,2,2021-02-14,Admin,NULL,NULL
19,2,2,2021-02-14,Admin,NULL,NULL
19,3,1,2021-02-14,Admin,NULL,NULL
19,4,1,2021-02-14,Admin,NULL,NULL
19,5,1,2021-02-14,Admin,NULL,NULL
19,6,2,2021-02-14,Admin,NULL,NULL
19,7,3,2021-02-14,Admin,NULL,NULL
